16/04/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;150,00;184,78
16/04/2021;Hogar;Luz y gas;Recibo IBERDROLA CLIENTES, S.A.U;;No;-185,34;34,78
15/04/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;150,00;220,12
15/04/2021;Alimentación;Supermercados y alimentación;Pago en DIA SANCHINARRO MADRID ES;;No;-13,70;70,12
15/04/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;100,00;83,82
15/04/2021;Otros gastos;Otros gastos (otros);Recibo MENUDOS DELFINES SL;;No;-58,00;-16,18
10/04/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-107,51;41,82
09/04/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;100,00;149,33
09/04/2021;Hogar;Agua;Recibo CANAL DE ISABEL II GESTION, S.;;No;-46,29;49,33
08/04/2021;Educación, salud y deporte;Farmacia;Pago en FARMACIA ALCALDE MORENO MADRID ES;;No;-16,98;95,62
07/04/2021;Otros gastos;Otros gastos (otros);Recibo MANSO Y RIVA, SL;;No;-60,00;112,60
06/04/2021;Alimentación;Supermercados y alimentación;Pago en DIA SANCHINARRO MADRID ES;;No;-14,77;172,60
06/04/2021;Otros gastos;Otros gastos (otros);Recibo SERVICIOS EDUCATIVOS EL VALLE DE SAN CHI;;No;-287,50;187,37
06/04/2021;Otros gastos;Otros gastos (otros);Recibo SERVICIOS EDUCATIVOS EL VALLE DE SANCHINARRO, SLL;;No;-287,50;474,87
05/04/2021;Otros gastos;Transferencias;Traspaso interno emitido;;No;-160,00;762,37
04/04/2021;Educación, salud y deporte;Farmacia;Pago en FARMACIA PRINCIPE CARLOS MADRID ES;;No;-7,56;922,37
03/04/2021;Alimentación;Supermercados y alimentación;Pago en PLUS SUPERMERCADOS S.A. MADRID 28;;No;-22,21;929,93
03/04/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-102,07;952,14
02/04/2021;Alimentación;Supermercados y alimentación;Pago en DIA MADRID 28;;No;-11,49;1.054,21
01/04/2021;Educación, salud y deporte;Deporte y gimnasio;Pago en DECATHLON ALCOBENDAS ALCOBENDAS ES;;No;-28,96;1.065,70
01/04/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO Zara mamen;;No;128,00;1.094,66
01/04/2021;Hogar;Teléfono, TV e internet;Recibo TELEFONICA DE ESPANA S.A.;;No;-2,00;966,66
01/04/2021;Otros gastos;Otros gastos (otros);Recibo C.P.AVD. NICETO ALCALA ZAMORA, 24-42;;No;-145,58;968,66
01/04/2021;Otros gastos;Transferencias;Transferencia emitida periódica;;No;-75,00;1.114,24
31/03/2021;Compras;Ropa y complementos;Pago en ZARA MADRID VAGUADA A34 MADRID ES;;No;-128,75;1.189,24
31/03/2021;Otros gastos;Transferencias;Traspaso interno emitido;;No;-180,00;1.317,99
31/03/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de CARLOS ANTONIO PEREZ HAURIE GASTOS DICIEMBRE;;No;1.471,00;1.497,99
29/03/2021;Hogar;Luz y gas;Recibo IBERDROLA CLIENTES, S.A.U;;No;-83,37;26,99
28/03/2021;Alimentación;Supermercados y alimentación;Pago en DIA SANCHINARRO MADRID ES;;No;-11,20;110,36
27/03/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-89,20;121,56
26/03/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-20,08;210,76
24/03/2021;Alimentación;Supermercados y alimentación;Pago en SANCHINARRO H. MADRID 28;;No;-26,42;230,84
22/03/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-28,95;257,26
22/03/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO Gastos abril menos compra mercadona;;No;241,00;286,21
21/03/2021;Alimentación;Supermercados y alimentación;Pago en HEMA Madrid ES;;No;-21,20;45,21
20/03/2021;Compras;Regalos y juguetes;Pago en MAXICHINA MADRID ES;;No;-16,25;66,41
20/03/2021;Compras;Compras (otros);Pago en Amazon.es*MU4QG8ZA4 amazon.esayuLU;;No;-14,72;82,66
18/03/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;100,00;97,38
18/03/2021;Compras;Compras (otros);Pago en AMZN Mktp ES*MU03Q6FR4 WWW.AMAZON.ESLU;;No;-25,39;-2,62
16/03/2021;Otros gastos;Otros gastos (otros);Recibo MENUDOS DELFINES SL;;No;-58,00;22,77
12/03/2021;Alimentación;Supermercados y alimentación;Pago en CASA ELIAS VALDEBEBAS MADRID ES;;No;-3,79;80,77
12/03/2021;Alimentación;Supermercados y alimentación;Pago en CASA ELIAS VALDEBEBAS MADRID ES;;No;-2,59;84,56
11/03/2021;Otros gastos;Transferencias;Traspaso interno emitido;;No;-100,00;87,15
07/03/2021;Alimentación;Supermercados y alimentación;Pago en SUPERMERCADOS SANCHINARROMADRID ES;;No;-30,48;187,15
07/03/2021;Otros gastos;Transferencias;Traspaso interno emitido;;No;-24,00;217,63
06/03/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-121,76;241,63
04/03/2021;Compras;Belleza y perfumería;Pago en PELUPAU MADRID ES;;No;-25,00;363,39
03/03/2021;Otros gastos;Otros gastos (otros);Recibo MANSO Y RIVA, SL;;No;-60,00;388,39
02/03/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso emitido Cuenta Nómina;;No;-250,00;448,39
02/03/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso emitido Cuenta Nómina;;No;-700,00;698,39
02/03/2021;Otros gastos;Otros gastos (otros);Recibo C.P.AVD. NICETO ALCALA ZAMORA, 24-42;;No;-145,58;1.398,39
02/03/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de CARLOS ANTONIO PEREZ HAURIE GASTOS DICIEMBRE;;No;1.471,00;1.543,97
01/03/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso recibido Cuenta Nómina;;No;300,00;72,97
01/03/2021;Otros gastos;Otros gastos (otros);Recibo SERVICIOS EDUCATIVOS EL VALLE DE SANCHINARRO, SLL;;No;-287,50;-227,03
01/03/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso recibido Cuenta Nómina;;No;400,00;60,47
01/03/2021;Hogar;Teléfono, TV e internet;Recibo TELEFONICA DE ESPANA S.A.;;No;-6,36;-339,53
01/03/2021;Otros gastos;Otros gastos (otros);Recibo SERVICIOS EDUCATIVOS EL VALLE DE SAN CHI;;No;-287,50;-333,17
01/03/2021;Otros gastos;Transferencias;Transferencia emitida periódica;;No;-75,00;-45,67
28/02/2021;Alimentación;Supermercados y alimentación;Pago en SUPERSOL SU2521 MADRID ES;;No;-22,02;29,33
27/02/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-128,34;51,35
24/02/2021;Otros gastos;Transferencias;Traspaso interno emitido;;No;-80,00;179,69
23/02/2021;Hogar;Luz y gas;Recibo IBERDROLA CLIENTES, S.A.U;;No;-67,46;259,69
20/02/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-22,51;327,15
19/02/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno emitido;;No;-127,00;349,66
19/02/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO gastos marzo;;No;403,00;476,66
17/02/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;100,00;73,66
16/02/2021;Ocio y viajes;Cafeterías y restaurantes;Pago en DELIVEROO.ES MADRID ES;;No;-33,60;-26,34
15/02/2021;Otros gastos;Otros gastos (otros);Recibo CLUB DEPORTIVO ELEMENTAL EL VALLE;;No;-220,85;7,26
13/02/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO Descubierto;;No;150,00;228,11
13/02/2021;Movimiento sin categoría;Transacción entre cuentas de ahorro;Traspaso interno recibido;;No;300,00;78,11
13/02/2021;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-144,22;-221,89
12/02/2021;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO ;;No;150,00;-77,67
11/02/2021;Hogar;Luz y gas;Recibo IBERDROLA CLIENTES, S.A.U;;No;-267,30;-227,67
