29/09/2020;Compras;Compras (otros);Pago en AMZN Mktp ES*JP0OD9GC5 800 279 6620 LU;;No;-95,94;243,32
28/09/2020;Alimentación;Supermercados y alimentación;Pago en SANCHINARRO H. MADRID 28;;No;-18,15;339,26
28/09/2020;Alimentación;Supermercados y alimentación;Pago en MERCADONA C MA MADRID ES;;No;-36,41;357,41
28/09/2020;Otros gastos;Transferencias;Traspaso interno emitido;;No;-19,97;393,82
27/09/2020;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO Diferencia pollera y pedido Amazon mamen;;No;58,74;413,79
25/09/2020;Hogar;Luz y gas;Recibo IBERDROLA CLIENTES, S.A.U;;No;-60,84;355,05
22/09/2020;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO Gastos octubre;;No;426,00;415,89
22/09/2020;Alimentación;Supermercados y alimentación;Pago en SUPERMERCADOS SANCHINARROMADRID ES;;No;-50,52;-10,11
22/09/2020;Compras;Compras (otros);Pago en adidas MBFO Madrid San SebastianES;;No;-19,95;40,41
21/09/2020;Educación, salud y deporte;Deporte y gimnasio;Pago en FORUM INTERNET ARIZGOITI ES;;No;-28,89;60,36
17/09/2020;Otros ingresos;Ingresos de otras entidades;Transferencia recibida de MARIA DEL CARMEN LOPEZ GUIJARRO Alfombra;;No;106,00;89,25
16/09/2020;Alimentación;Supermercados y alimentación;Pago en MERCADONA COLMENA GETAFE GETAFE ES;;No;-132,22;-16,75
15/09/2020;Hogar;Decoración y mobiliario;Pago en WESTWING.ES Munich DE;;No;-106,89;115,47
15/09/2020;Compras;Compras (otros);Pago en AMZN Mktp ES*0Y61W3475 800 279 6620 LU;;No;-25,90;222,36
14/09/2020;Alimentación;Supermercados y alimentación;Pago en SUPERMERCADOS SANCHINARROMADRID ES;;No;-19,66;248,26
14/09/2020;Otros gastos;Transferencias;Traspaso interno emitido;;No;-0,68;267,92
13/09/2020;Compras;Compras (otros);Pago en 037 CORTE INGLES SAN CHINMADRID 28;;No;-7,25;268,60
13/09/2020;Compras;Compras (otros);Pago en 037 CORTE INGLES SAN CHINMADRID 28;;No;-9,99;275,85
13/09/2020;Alimentación;Supermercados y alimentación;Devolución Tarjeta SANCHINARRO H. MADRID 28;;No;10,00;285,84
12/09/2020;Otros gastos;Transferencias;Traspaso interno emitido;;No;-14,09;275,84
09/09/2020;Compras;Ropa y complementos;Pago en APOLO UNIFORMES ALCOBENDAS ES;;No;-44,00;289,93
09/09/2020;Otros gastos;Transferencias;Traspaso interno emitido;;No;-192,00;333,93
08/09/2020;Alimentación;Supermercados y alimentación;Pago en LA PLAZA MADRID 28;;No;-34,09;525,93
05/09/2020;Otros gastos;Comisiones e intereses;Comisión cajero BANKIA 7633 AYLLON ES;;No;-0,65;560,02
